token,txhash,blockno,price,rtoken,symbol
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x65eaea0ff41dc88487dd5a59a62879af583b29534094f2b91b3a384aa350b0e3,13266027,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x7d1b008736f42c80d98834039b5e3d8e948383276e8053c3b0a9838f63111832,13285055,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x035e81595527b065c1529a8e08677b5ac88c26d5c3e9061955fa2e3ec8575138,13294537,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0xc26dfcd1ee9cd06bb33f21ed16307720f20ba2c83b67078f3463907fc3db36fb,13322263,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x335144417f9d5539693c41a6d22b6fe40e61012a28486e34f00c979b4af149df,13340922,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x40c28417667233928bbdb2315001ad1c697f8e5d0a8b677b0fb7ce81f063851e,13351500,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x40f07f0c2209c6f6587d7bf1b2cf546e0d66baf618380a3fbb7842e979e670be,13353786,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x06f3b0d00acc91219f529b2d2131c3c4a6037c2a1a41bd9c6be463c33521e688,13353898,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x1387f8754a80865212fd9ab97881da5b7446e1b7bc92a128d703e8b5810077c5,13364615,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x3633cb09027504cba3beb7554c223c89288b88900001a2024bcb24635c49906b,13371451,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x56a2fa76da8c5e661c6a103594a32b4c5f1f94d79a695aaf7c87aceb10458a66,13375364,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x2441519fff06d7c61c117c6f55efb0aced9af43004af2e6db6e0a9e45284eb9e,13382152,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x60220c0b6525d70aea532bd0f00c9aed0b4ed9071bbad7e8bb71c0d65ccae492,13383998,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x91fc2e7d80e7dec7ce148c4faf8111ff9dc891f3fe27c002aae0ea16bbb675c2,13384893,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x8865aa0ba0c57bf26b77f8591c744cccc42f05a7ea80d3b3bd823da8c0d7fa5f,13393511,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0x5b2b1f3904a80db7acaa89b77c9e1bd250e3e3835968e4f9d27dff5bc64167a3,13412963,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
0x1f4e35D4380D91AF30eDca625C8d158019786299,0xb4d64699cf6b55dce1de4b8d857f7113aad65c23da726863933857bd173ca250,13427729,0,0x1f4e35D4380D91AF30eDca625C8d158019786299,0
